e3993c388c91269,AddLocalClientResult
edb4c044cb28840,LobbyClientPregameState
4ab3168592ae44f,Browser
dcb41ef4f676d37,GroupApplicationState
9c3992e15081c43,GroupMenu
b29f571040f207f,PlatformSessions
63e5adf9d95fc86,CustomizationType
19af90cb421ac99,ObjectiveTypes
1ae9060e24e369,WoundedSoldierType
4aa9747c7fd29aa,LbTrackType
b1683ec557190d5,FrontendMusicTrackStates
a9a47ec43525099,LobbyOnlineState
3cba8d054211104,eWeaponOptionGroup
3e81bdd55dfc2cd,ClassSetType
71a76d23911a20e,QueryID
816b1501dfcc3,demoClipTransition
c85221447a6ba72,GPadButtonConfigs
f9b5140618251dd,connectionType_e
ea28383b5dec206,PresenceFilter
f1a952fe3d3fb8a,ShoutcasterSettingMinimapMode
48d125ff6268894,FileshareFileCategory
c37db7c34a3b3a0,PregameShuffleMethod
8a7110ed63e9c6f,ShoutcasterSettingsXray
3dd78803f918e9d,LUIButton
a622ca13dc5d27,LootBurnDupeState
60d7da9ffd99754,Limit
f116421015e781b,LobbyMapVote
a36ed4b834c090f,LobbyProcessComplete
70feedcc7ffa9ef,WaypointState
d75da58ab678001,UIModelClientFieldType
6330f2d0eee1c7a,CustomizationTypeLayerCount
5e0da0f6eb19636,GroupBufferType
916b410ff0aaec,StoreProductPurchaseStatus
f041d1802ecfe69,RocketLauncherTargetStatesFlags
46cd5114b8a5bfc,CustomizationScaleType
5904c991c9847c2,PresencePrimary
ae044d01ae0c127,LobbyOnlineUpdateEventType
dbb26718558b57,SettingTeamIndicator
867645ed00f380f,demoHighlightReelGameResultFilter
bbd4f9e70101ba8,StorageFileType
13520493ea3e4e6,SYSINFO
9855d31639ba14d,CharacterTauntTypes
e118666d5fbdd6a,FileshareGroupsDataType
78827101e768a52,SteamServerFilterType
215786b7323c300,CustomizationTypeGroupCount
caf637b56f15c3a,GroupAdminPrivilege
f4865e3551c3835,LUIButtonPromptStates
29982fcf939650d,ItemRestrictionState
63beac3172bb0ff,chatInGameState_e
b5c29e1f576cca2,BuildStringField
58eec161c5b6242,LobbyTaskType
18f5dbf6846e161,demoLightmanLightMode
3a1bf682942aee9,BleedOutStateFlags
89c1455c5032969,LobbyMainMode
a3a798215b24409,MusicPlayerTableColumn
a518abab92db212,itemGroup_t
979cfae6f7955f9,MissileLockedOnDirection
4e4cfa08507f750,CharacterGestureTypes
c2ded9979c43e85,FeaturedCardType
d8ebb80d2449deb,DurangoSessionVisibility
a2c16942d15b316,objectiveState_t
f7ae5746e79f2ce,eGameModes
a872850311a8b1f,WeakpointWidgetStates
4317c8c4998d8dc,CampaignMode
13a4717e5ac547,team_t
92f3ea6c43fd419,InventoryPurchaseResult
8bfed7ba33f8942,CharacterGenderTypes
4ac3b18eeecca6,VoteItemType
5f1f2aa8bcab7c0,EnemyTargetStates
8cae469b871008f,FileshareCommunityDataType
9f4b605dfdc7fff,WeaponFireEvent
2d5eaeef705cf33,loadoutGadgetType_e
388a43b4b2ed2c,bunkCollectibleSlots_e
aab93f26a00ce2,attachmentTableColumn_e
55ac458db14598e,LootResultType
bc604da292437e4,ScreenshotViewType
4c1e4dfb8995ea4,heroLoadoutTypes_e
1f6577dcff6e881,LiveUserState
aa0d870e884edc0,GPadStickConfigs
3ed85ba45b1d650,CustomizationEditorMode
ca0cb02b4a12602,CustomizationGradientType
704f69f9b0bdcec,LootRarityType
e2a6806bb83d51c,ContentFlagBits
4894073c9168d02,WeaponAttributesColumn
fcc6a2d2eb0fda7,CharacterItemType
5f1a174bb320e2,MultiplayerMusicTracks
35ef5eb24c7caa2,WeaponOptionFilter
e9d1dc67224a5dc,GroupPrivacy
32428513d5c7f86,chatChannel_e
3fd2737b5a1db2e,LootCrateType
61296e55c24bbd4,InventoryCurrency
87a77af492bfd8c,LMGInfiniteState
d75fb136cb17239,PresenceActivity
676ab647061af5,LobbyHostType
bf48782c6485db9,SteamServerRequestType
44f374008dfa22a,scoreBoardColumns_e
927cbd99c549131,prestigeTokenType_e
d7ccd8bf53dc08c,LobbyClientType
7a5123b654282d2,LUIAlignment
8d611b6a6edf9bf,LiveMetPlayerUpdate
49b95fea9765bb5,demoClipState
612ebb6bd74acf0,BuildIntField
f432df404208022,demoCameraMode
3d77e7b1df67f2f,StorageResult
3eb01916743df12,LobbyDisconnectClient
22f5bdebbc74273,bunkCollectibleSizes_e
9c0c2196d8313a0,eModes
7339bd8f945e098,gamepadType_e
398581f68b3e097,CompassType
e29e259801bc1a4,LUIButtonFlags
2f0d281157f67c6,HlsChannelState_e
15a59c8c59697e5,dlcIndex_t
ca6ae10cc343a4f,LobbyJoinable
adb4aaff1a24587,AccountRegistrationStatus
85fce2aa5391a7c,KeyboardType
4fc24c257890830,ShoutcasterSettingShowPerks
acddbee31beadde,ShoutcasterSettingTeamIdentityMode
bf54be1bb3d618b,LobbyType
30e44a363f3414c,statsMilestoneTypes_t
e798e99e27d081e,FileshareTaskUIState
d6b407fa1234242,SteamServerAttributeFilter
bb23f3a44d40524,KVSChannel
76254daf867d1bd,VehiclePartDestroyed
fe6cdfc0795e609,fileShareLocation
67d1ab56cfa8f00,eVoipStatus
1ada9cdf4fa52f2,LiveInternalEvent
1eb07d7f21fbdb3,ArmbladeLockState
e4c65aa61faec38,errorCode
fb32ca7ff48a235,LbFilter
5d8958b21a067c9,milestoneTableColumns_t
d7f642528f471cb,dvarType_t
dd8979504c373ba,HeroState
999f869fe87e8b0,PregameSortType
83d7b922831dd78,ProbationMode
805c82c8ba1b3c9,ShowInMatchmaking
dc1f7eb22c8b93b,MediaType
7994f1ffd681992,GroupSearchSizeRangeIndex
32a153c5d940a70,consoleLabel
b4e67669eddf5d,VoteType
8409aa0f01b5dbc,LobbyMode
6a5f22b388f8b9e,CACType
b49245e4de272d8,PlatformPresenceFeatures
1090c0cf76304e7,GroupUpdatePrivacyType
c3ebeb018f9c5ed,ColorVisionDeficiencies
cdbc91d14ed7e67,demoHighlightReelTransitionFilter
253c21afc0aae25,demoDollyCameraTimeScaleMode
ee23f7d18ef525c,MessageDialogType
50236a3452f3a49,XONLINE_NAT_TYPE
7c16c12b515ce07,ShowcaseWeaponMode
25e8d8427cab01,FileshareMode
66be675172715c,demoFreeCameraMode
8fcb311b4ea52f5,demoInformationScreenTypes
c84d3e505f1444,LobbyNetworkMode
d0b6f7c5838ae03,GunsmithMode
2e4144aa1c3abb8,JoinResult
d7cf7a39e18c613,DurangoSessionJoinRestriction
5b86390d74f3997,CustomizationColorNum
35e410854efa4ad,SessionDirty
c594b064fedd0d6,CustomizationColorMode
d757bdc5a0a674e,DamageFeedbackFlags
552a19a66323ffd,CustomizationColorSwatch
1a7f8aae8beb809,SessionActive
ca3f54d92f45b45,CustomizationPaintjobInvalidID
e8191bed9823bab,LobbyPregameState
7fd132de664dda2,demoHighlightReelStylesFilter
26a3827db7ca69f,GroupJoinApprovalType
c018c5f55467eb1,JoinType
7afa704a2443bb1,LaunchGameState
9ed646d0ddcbdc4,HostServer
f17a6972f95f8db,CustomGamesTaskUIState
2b75b009a1af986,GameServerStatus
26d6ba53d0417b2,eGameType
96eea70eac07218,DamageFeedbackState
2f23b6d284d53b8,GroupSearchType
51366f188df5ea1,PresenceCtx
5a046d0646801,SessionStatus
807bb39ce2869b1,demoHighlightReelPlayerFilter
dd54240c5230db8,PaintshopMode
f2c3faa28712c92,DurangoWriteSessionStatus
7ca2de5266a94bf,LobbyModule
7f032c2ef103a1a,UIVisibilityBit
e70cc98cd3717d0,VehicleFullscreenFilter
32a42347080acc0,GroupMemberStatus
55c2ed9f0b655aa,LobbyListComparisonType
ddd970cbdd433ea,GroupUpdateGamertagsType
70dc6ce53ef2d31,PartyPrivacy
aaaf4c9531ecf5e,demoContextMode
c16cf91e41a3c37,LobbyTaskState
733e11739ad6904,SteamServerSortType
3908242653fac08,PresenceSorting
